start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,storage_first,8,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,9,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,10,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,11,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,12,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,13,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,14,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,15,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,16,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,17,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,18,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,19,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,20,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,21,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,22,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,23,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,24,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,25,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,26,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,27,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,28,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,29,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,30,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,31,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,32,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,33,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,34,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,35,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,36,lost,bankrupt,5,0,8,72,15,8,2.0
current,storage_first,37,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,38,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,39,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,40,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,41,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,42,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,43,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,44,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,45,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,46,lost,bankrupt,5,0,7,72,15,8,2.0
current,storage_first,47,lost,bankrupt,5,0,6,72,15,8,2.0
current,storage_first,48,lost,bankrupt,5,0,6,72,15,8,2.0
current,storage_first,49,lost,bankrupt,5,0,6,72,15,8,2.0
current,storage_first,50,lost,bankrupt,5,0,6,72,15,8,2.0
current,storage_first,51,lost,bankrupt,5,0,6,72,15,8,2.0
